model,train_mse,test_mse,train_r2,test_r2,train_mape,test_mape,train_time,layers,optimizer,learning_rate
DNN_5_layers_RMSprop_lr_0.001,0.03968876366181782,0.040758207570778936,0.9983426472193012,0.9982938364473776,1.26858314747769,1.317487710372055,192.19262647628784,5.0,RMSprop,0.001
DNN_5_layers_RMSprop_lr_0.01,0.05866309158336308,0.05868504467550489,0.997550303184334,0.997543408057494,1.6477530393575246,1.667468447625782,210.72323656082153,5.0,RMSprop,0.01
DNN_1_layers_RMSprop_lr_0.001,0.059575603190972985,0.06014261445866006,0.9975121978489504,0.9974823932929192,1.4918066840162802,1.5003829729882954,141.5133194923401,1.0,RMSprop,0.001
DNN_1_layers_Adam_lr_0.001,0.06005285516654349,0.06139705458959932,0.9974922684075713,0.9974298816600993,1.5617705339508636,1.5994335480464177,142.4741232395172,1.0,Adam,0.001
DNN_1_layers_SGD_lr_0.1,0.06297544907901333,0.06378399040794194,0.9973702245669277,0.9973299630636145,1.5695728777454891,1.586891040394734,156.2492048740387,1.0,SGD,0.1
DNN_5_layers_Adam_lr_0.01,0.06747031926864898,0.06806431596069402,0.9971825244493038,0.9971507860122493,1.5637250427903089,1.5788348444131568,196.94787764549255,5.0,Adam,0.01
DNN_5_layers_SGD_lr_0.01,0.0667935308294231,0.07001192890931483,0.9972107862820798,0.9970692577403845,1.7173583827740975,1.778137025571052,182.81484007835388,5.0,SGD,0.01
DNN_5_layers_Adam_lr_0.1,0.07345664237133445,0.07360413579650749,0.9969325431365842,0.9969188857581582,1.8569501853684296,1.8911115748304987,202.3136386871338,5.0,Adam,0.1
DNN_1_layers_Adam_lr_0.01,0.07481753706615014,0.07489862983191967,0.996875713888238,0.9968646974443451,1.6138170253309874,1.6294367667924432,146.72012305259705,1.0,Adam,0.01
DNN_5_layers_SGD_lr_0.1,0.07990131946316749,0.08142573945022323,0.9966634215385958,0.9965914686347763,1.8161156110051435,1.8492124030805996,180.43681240081787,5.0,SGD,0.1
DNN_1_layers_SGD_lr_0.01,0.08474057355415116,0.08672171050108322,0.9964613403830188,0.9963697760402963,1.916054831614535,1.9378134620449496,153.69788479804993,1.0,SGD,0.01
DNN_25_layers_Adam_lr_0.001,0.09308860335452741,0.09297133381052375,0.9961127371732816,0.9961081629777083,1.9370835524096484,1.9488803626151856,444.25994420051575,25.0,Adam,0.001
DNN_5_layers_Adam_lr_0.001,0.09401906285500476,0.09402882238466916,0.9960738823564981,0.996063895857782,1.8172532543608664,1.8410279245742849,190.3418481349945,5.0,Adam,0.001
DNN_25_layers_RMSprop_lr_0.1,0.0970687463533269,0.09726514276989809,0.9959465314148245,0.9959284215026769,2.4618478002077384,2.468177035999175,400.38978362083435,25.0,RMSprop,0.1
DNN_25_layers_Adam_lr_0.1,0.13596145399343584,0.13406040952481113,0.9943224209309232,0.9943881490817853,2.4965417531553786,2.5354883433498276,405.5081081390381,25.0,Adam,0.1
DNN_1_layers_Adam_lr_0.1,0.14473054916551717,0.1441914098909261,0.9939562345616147,0.9939640591964228,2.4271197131329494,2.4691873283676298,147.6421718597412,1.0,Adam,0.1
DNN_1_layers_RMSprop_lr_0.01,0.1518979819214904,0.15044865166017007,0.9936569315974356,0.9937021272204376,2.31582269795834,2.3170379845595055,146.42351484298706,1.0,RMSprop,0.01
DNN_25_layers_RMSprop_lr_0.001,0.22795474922064587,0.23063236406518983,0.9904808967920107,0.990345587868656,3.8389223166872,3.898914992122487,416.31815099716187,25.0,RMSprop,0.001
DNN_25_layers_SGD_lr_0.1,0.28433077433304405,0.2833500573669313,0.988126704991507,0.9881387929124853,3.583513335799662,3.6059908103403737,420.68561720848083,25.0,SGD,0.1
DNN_5_layers_RMSprop_lr_0.1,0.5249231425755239,0.5181254857153492,0.9780798707308269,0.9783109495706559,4.891356959825366,4.913194021991224,205.2115330696106,5.0,RMSprop,0.1
DNN_5_layers_SGD_lr_0.001,0.7796747567332916,0.8098675595836737,0.9674417641949442,0.9660984475283074,5.9340952785448,6.069651346200993,180.1208963394165,5.0,SGD,0.001
DNN_1_layers_RMSprop_lr_0.1,0.8288288848662211,0.8229030324623376,0.9653891497159927,0.9655527746432044,6.66087777395495,6.682961017622668,144.19488143920898,1.0,RMSprop,0.1
DNN_1_layers_SGD_lr_0.001,0.9344922597468718,0.9251840111275657,0.9609767802688449,0.9612712301807274,6.234967337421526,6.272457833492517,142.81924176216125,1.0,SGD,0.001
DNN_25_layers_Adam_lr_0.01,3.6164147683315164,3.588052835146107,0.8489830743147926,0.8498019089387375,10.667066774883558,10.662304852924171,416.4196755886078,25.0,Adam,0.01
Linear Regression,5.929173533245533,5.762619749617392,0.7524051813177538,0.7587732049466274,15.51694029930194,15.304948047779957,0.02711772918701172,,,
DNN_25_layers_SGD_lr_0.01,15.997714850800511,16.257704592685293,0.33195557768637796,0.31944252020474606,25.595031190383523,26.016946535487502,399.71893644332886,25.0,SGD,0.01
DNN_25_layers_RMSprop_lr_0.01,54.93627464296499,55.193916967829736,-1.294069634331906,-1.310451196693227,57.668687857411214,58.017687395865735,430.69745326042175,25.0,RMSprop,0.01
DNN_25_layers_SGD_lr_0.001,147.17479229484323,146.57041060159074,-5.145833952829585,-5.135527231590475,74.6321730074534,74.5476093483033,393.071350812912,25.0,SGD,0.001
